object_location,objectid,display_template,format,type,title,description,subject,date,creator,bigsub,classification,Publisher,Journal,location,latitude,longitude,area
/objects/Rego_DT_Combinamos.pdf,rego21,pdf,application/pdf,Text,"Combinamos de não morrer? Transfobia, racismo e resistência à necropolítica entre pessoas trans negras em Goiás",,,2021,Yordana Lara Pereira Rego,Dissertation/Thesis,Dissertação (Mestrado),,,UFG,-15.94122207,-50.13493594,Antropologia Social
/objects/Reidel_DT_Pedagogia.pdf,reidel13,pdf,application/pdf,Text,A pedagogia do salto alto. Histórias de professoras transexuais e travestis na educação brasileira,,,2013,Marina Reidel,Dissertation/Thesis,Dissertação (Mestrado),,,UFRGS,-30.03367535,-51.21913413,Educação
,,,,,Travestilidades e escolas nas narrativas de alunas travestis,,,2012,Adriana Sales,Dissertation/Thesis,Dissertação (Mestrado),,,UFMT,,,Educação
/objects/Lanz_DT_Corpo.pdf,lanz14,pdf,application/pdf,Text,O corpo da roupa: a pessoa transgênera entre a transgressão e a conformidade com as normas de gênero,,,2014,Leticia Lanz,Dissertation/Thesis,Dissertação (Mestrado),,,UFPR,-25.4264354,-49.2619218,Sociologia
/objects/Vergueiro_DT_Inflexoes.pdf,vergueiro15,pdf,application/pdf,Text,Por inflexões decoloniais de corpos e identidades de gênero inconformes,,,2015,Viviane Vergueiro,Dissertation/Thesis,Dissertação (Mestrado),,,UFBA,-12.74983165,-38.48214151,Cultura e Sociedade
/objects/Andrade_DT_Travestis.pdf,andrade12,pdf,application/pdf,Text,Travestis na escola: assujeitamento e resistência à ordem normativa,,,2012,Luma Nogueira de Andrade,Dissertation/Thesis,Tese (Doutorado),,,UFC,-3.743650277,-38.5737594,Educação
/objects/Grunvald_DT_Existencias.pdf,grunvald16,pdf,application/pdf,Text,"Existências, insistências e travessias: sobre algumas poéticas e políticas do travestimento",,,2016,Vi Grunvald,Dissertation/Thesis,Tese (Doutorado),,,USP,-23.56115322,-46.73073546,Antropologia Social
/objects/Jesus_DT_Protesto.pdf,jesus10,pdf,application/pdf,Text,O protesto na festa: política e carnavalização nas paradas do orgulho LGBT,Este artigo é bom demais.,Paradas do Orgulho LGBT; Movimentos Sociais; Identidade de Gênero; Percepções; Carnavalização.,2010,Jaqueline Gomes de Jesus,Dissertation/Thesis,Tese (Doutorado),,,UnB,-15.76263407,-47.87074542,Psicologia Social
/objects/Lima_DT_Transitos.pdf,lima22,pdf,application/pdf,Text,Trânsitos em texto: uma análise comparada de biografias e autobiografias de pessoas trans no Brasil e nos EUA,,,2022,Lux Ferreira de Lima,Dissertation/Thesis,Tese (Doutorado),,,USP,-23.56092993,-46.73093151,Antropologia Social
/objects/Reis_DT_Somos.pdf,reis18,pdf,application/pdf,Text,Somos feitas de histórias: (auto)etnografia multilocal com travestis,,,2018,Andreia Resende Dos Reis,Dissertation/Thesis,Tese (Doutorado),,,PUC-MG,-19.93212044,-43.93643768,Psicologia
,,,,,A queda para o alto,,,1982,Anderson Herzer,Book,,Vozes,,,,,
,,,,,Erro de pessoa: Joana ou João?,,,1984,João Nery,Book,,Record,,,,,
,,,,,"Meu corpo, minha prisão: Autobiografia de um transexual",,,1985,Lorys Ádreon,Book,,Marco Zero,,,,,
,,,,,A Princesa: Depoimentos de um travesti brasileiro a um líder das Brigadas Vermelhas,,,1995,Fernanda Albuquerque; Maurizio Jannelli,Book,,Nova Fronteira,,,,,
,,,,,"Muito prazer, Roberta Close",,,1998,Roberta Close; Lucia Rito,Book,,Rosa dos Tempos,,,,,
,,,,,Liberdade ainda que profana,,,1998,Ruddy Pinho,Book,,Razão Cultural ,,,,,
,,,,,Viagem solitária: memórias de um transexual trinta anos depois,,,2011,João Nery,Book,,Leya,,,,,
,,,,,Thammy: nadando contra a corrente,,,2015,Thammy Miranda; Marcia Zanelatto,Book,,Best Seller,,,,,
,,,,,Meu nome é Amanda,,,2016,Amanda Guimarães; Lielson Zeni,Book,,Fábrica 321,,,,,
,,,,,E se eu fosse puta,,,2016,Amara Moira Rodovalho,Book,,Hoo,,,,,
